DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-01-24,EQ,1244.95,1247.8,1170.0,1238.2,1180.0,1180.6,1203.08,1523.75,1170.0,153805,185040101.15,9730,UNIMECH
2025-01-23,EQ,1264.65,1269.4,1230.2,1259.5,1242.0,1238.2,1248.22,1523.75,1210.1,97645,121882031.65,6844,UNIMECH
2025-01-22,EQ,1284.9,1296.8,1240.0,1280.2,1253.0,1259.5,1254.99,1523.75,1210.1,159846,200605173.05,10226,UNIMECH
2025-01-21,EQ,1270.0,1326.95,1265.0,1281.85,1289.5,1280.2,1292.98,1523.75,1210.1,313948,405929429.25,17146,UNIMECH
2025-01-20,EQ,1301.05,1320.0,1263.25,1304.45,1283.0,1281.85,1288.84,1523.75,1210.1,214291,276187378.9,10665,UNIMECH
2025-01-17,EQ,1268.1,1335.0,1253.05,1268.1,1301.05,1304.45,1308.22,1523.75,1210.1,373659,488828051.6,19516,UNIMECH
2025-01-16,EQ,1250.0,1322.8,1235.2,1224.8,1273.95,1268.1,1284.4,1523.75,1210.1,450904,579142809.55,23208,UNIMECH
2025-01-15,EQ,1250.35,1275.0,1210.1,1250.15,1225.75,1224.8,1235.83,1523.75,1210.1,280598,346770994.05,13518,UNIMECH
2025-01-14,EQ,1257.15,1267.7,1238.95,1239.55,1253.0,1250.15,1249.91,1523.75,1215.2,220325,275386681.25,9039,UNIMECH
2025-01-13,EQ,1260.0,1287.55,1215.2,1272.05,1238.0,1239.55,1251.86,1523.75,1215.2,592098,741226212.1,20189,UNIMECH
2025-01-10,EQ,1300.0,1319.0,1240.0,1301.45,1260.0,1272.05,1281.12,1523.75,1240.0,653560,837291260.0,32953,UNIMECH
2025-01-09,EQ,1356.6,1359.6,1260.25,1353.9,1303.0,1301.45,1305.98,1523.75,1260.25,769070,1004389932.35,33602,UNIMECH
2025-01-08,EQ,1390.0,1393.0,1336.05,1385.55,1350.9,1353.9,1358.57,1523.75,1327.75,557001,756726747.8,26429,UNIMECH
2025-01-07,EQ,1355.95,1410.0,1335.5,1344.15,1383.5,1385.55,1379.21,1523.75,1327.75,1193564,1646175835.5,40570,UNIMECH
2025-01-06,EQ,1447.65,1447.65,1329.6,1445.15,1348.0,1344.15,1381.18,1523.75,1327.75,974171,1345509688.85,43624,UNIMECH
2025-01-03,EQ,1463.7,1468.75,1403.1,1457.15,1445.0,1445.15,1435.94,1523.75,1327.75,1257549,1805764423.55,49535,UNIMECH
2025-01-02,EQ,1458.0,1523.75,1436.65,1444.2,1463.0,1457.15,1485.27,1523.75,1327.75,3102964,4608751707.25,103816,UNIMECH
2025-01-01,EQ,1381.0,1484.0,1381.0,1376.25,1451.0,1444.2,1447.48,1485.0,1327.75,4977937,7205444630.15,170677,UNIMECH
2024-12-31,EQ,1460.0,1485.0,1327.75,785.0,1385.0,1376.25,1390.37,1485.0,1327.75,8420710,11707885792.75,311624,UNIMECH
